movie_name,release_year,certificate,duration,genre,star,metascore,votes
Joji,2021,not rated,113 min,"Crime, Drama",7.9,nil,"6,392"
Methagu,2021,not rated,nil,"Biography, History",9.8,nil,"6,388"
Music,2021,PG-13,107 min,"Drama, Musical",3.1,23        ,"6,371"
Clarice,2021– ,not rated,60 min,"Crime, Drama, Mystery",6.5,nil,"6,367"
" Love, Death & Robots",2019– ,16,13 min,"Animation, Short, Comedy",6.1,nil,"6,326"
Bang Baang,2021– ,not rated,18 min,"Action, Thriller",6.8,nil,"6,316"
Hitman's Wife's Bodyguard,2021,16,100 min,"Action, Comedy, Crime",6.5,32        ,"6,266"
SAS: Red Notice,2021,R,124 min,"Action, Thriller",4.9,nil,"6,245"
Fatma,2021– ,not rated,40 min,"Crime, Drama, Thriller",7.5,nil,"6,236"
Sunflower,2021– ,not rated,36 min,"Comedy, Crime",7.7,nil,"6,209"
Sky Rojo,2021– ,16,31 min,"Action, Adventure, Crime",6.5,nil,"6,208"
Tell Me Your Secrets,I 2021– ,not rated,nil,"Crime, Drama, Mystery",7.4,nil,"6,200"
 Invincible,2021– ,not rated,47 min,"Animation, Action, Adventure",9.0,nil,"6,156"
Snabba Cash,2021– ,16,52 min,"Action, Crime, Drama",7.6,nil,"6,148"
Walker,2021– ,not rated,nil,"Action, Crime, Drama",5.9,nil,"6,117"
 The Walking Dead,2010–2022,16,43 min,"Drama, Horror, Thriller",4.1,nil,"6,040"
The Mosquito Coast,2021– ,not rated,nil,"Adventure, Drama, Thriller",7.0,nil,"5,960"
 Aspirants,2021– ,not rated,38 min,Drama,9.6,nil,"5,939"
 The New York Times Presents,2020– ,not rated,74 min,Documentary,6.9,nil,"5,932"
Jathi Ratnalu,2021,not rated,145 min,Comedy,7.6,nil,"5,884"
Allen v. Farrow,2021,12,256 min,"Documentary, Biography, Crime",6.4,nil,"5,865"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.3,nil,"5,852"
Billie Eilish: The World's a Little Blurry,2021,R,140 min,"Documentary, Biography, Music",7.8,70        ,"5,833"
" Love, Death & Robots",2019– ,16,7 min,"Animation, Short, Comedy",7.4,nil,"5,746"
The Pembrokeshire Murders,2021,not rated,144 min,"Crime, Drama",7.1,nil,"5,728"
Crisis,2021,R,118 min,"Drama, Thriller",6.1,41        ,"5,722"
 Aspirants,2021– ,not rated,49 min,Drama,9.8,nil,"5,703"
Pretend It's a City,2021,not rated,203 min,"Documentary, Biography, Comedy",8.1,nil,"5,686"
The Great Indian Kitchen,2021,not rated,100 min,"Comedy, Drama",8.3,nil,"5,620"
" Love, Death & Robots",2019– ,16,11 min,"Animation, Short, Comedy",7.0,nil,"5,617"
Dracula,2021– ,not rated,nil,"Comedy, Drama",8.8,nil,"5,613"
 The Walking Dead,2010–2022,16,40 min,"Drama, Horror, Thriller",5.1,nil,"5,604"
RH Project,2021,not rated,239 min,"Documentary, Crime, History",7.0,nil,"5,500"
" Love, Death & Robots",2019– ,16,13 min,"Animation, Short, Comedy",7.0,nil,"5,449"
 Aspirants,2021– ,not rated,45 min,Drama,9.7,nil,"5,442"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"5,408"
Young Rock,2021– ,not rated,nil,Comedy,7.1,nil,"5,324"
